# year  feltAT  felt
1952   8        9
1953   14      16
1954   12      15
1955   15      16
1956   9       14
1957   6        8
1958   13      14
1960   9       13
1961   9       11
1962   9       10
1963   12      15
1964   17      22
1965   10      11
1966   13      14
1967   17      20
1968   11      13
1969   18      21
1970   13      15
1971   15      16
1972   21      23
1973   16      18
1974   17      18
1975   28      28
1976   12      82
1977   13      17
1978   30      35
1979   17      19
1980   17      20
1981   22      25
1982   25      16
1983   13      20
1984   32      35
1985   18      22
1986   14      19
1987   20      22
1988   22      23
1989   21      24
1990   16      18
1991   14      19
1992   17      23
1993   15      18
1994   20      21
1995   16      19
1996   25      30
1997   36      39
1998   25      31
1999   22      25
2000   42      45
2001   36      38
2002   10      13
2003   57      62
2004   37      45
2005   34      38
2006   33      33
2007   32      33
2008   42      49
2009   24      32
2010   45      50
2011   46      51
2012   46      62
